CompanyName,Founded,Logo,Location,Tagline,Description,Batch,Industry,SubIndustry,YCURL,CompanyURL
Martin,2023,https://bookface-images.s3.amazonaws.com/logos/9ab9107907f2fc520a58f77f0ff954059f4d425d.png,"Sunnyvale, CA, USA",An AI voice assistant that knows you.,"Martin is a competitor to Siri, but with an LLM brain and context about your life from email, calendar, and past conversations. You can say “Martin, help me organize a BBQ next weekend,” and Martin will find a nearby park that permits grilling, automatically book a reservation via phone, and send invites to your friends.",S23,CONSUMER,HOME AND PERSONAL,https://www.ycombinator.com/companies/martin,https://www.trymartin.com/
Healthtech 1,2021,https://bookface-images.s3.amazonaws.com/logos/668407d3dd3fb9cedf5f2dee2167c7a6358438f3.png,,Digitising repetitive processes in healthcare,"Healthtech 1 digitises repetitive processes for healthcare organisations. The first product launched 18 months ago for 'New Patient Registrations' is now live in 100+ NHS Primary Care practices across England.

Based out of Raj's parents' Primary Care practice the Healthtech 1 team are systematically digitising the repetitive processes they experience everyday, saving thousands of hours of staff time. 

Why now? 
The UK's National Health Service (NHS) delivers free healthcare in 590 million patient contacts every year. Post-pandemic, Britain's most treasured institution is in crisis. Patient satisfaction is at 25 year low and 1/7 staff are applying for Non-NHS jobs fuelling an 11% recruitment gap. 

By digitising the 100s of repetitive processes in the NHS, Healthtech 1 will reverse the trend, and produce the world's most productive health caresystem.",S23,HEALTHCARE,HEALTHCARE IT,https://www.ycombinator.com/companies/healthtech-1,https://www.healthtech1.uk/
Orbio Earth,2021,https://bookface-images.s3.amazonaws.com/logos/4edc5b554806dda9242b57ae38af627586c58811.png,"Remote; Berlin, Berlin, Germany; Amsterdam, NH, Netherlands",Tracking methane emissions with satellites,"Orbio Earth has developed a software platform that uses satellites to monitor methane emissions from the energy industry. 
Mismanagement of methane emissions triggers stock devaluations, stranded assets and increases global warming. 
Operators and financial companies use Orbio Earth’s data and products to better manage and reduce methane emission risks across their global energy portfolios. Learn more at https://orbio.earth",S23,B2B SOFTWARE AND SERVICES,ANALYTICS,https://www.ycombinator.com/companies/orbio-earth,https://www.orbio.earth/
